"Reporter.Name"	"allData.replica1"	"allData.replica2"
"20624"	"tcruzi-10754"	27197.27	23798.77
"20627"	"tcruzi-10757"	24204.06	23147.94
"29784"	"tcruzi-19914"	28224.71	25293.56
"54630"	"tcruzi-44760"	27219.93	25818.18
"54667"	"tcruzi-44797"	24756.81	24399.92
"54669"	"tcruzi-44799"	28442.99	27109.89
"58799"	"tcruzi-48929"	25683.38	24389.5
"93031"	"tcruzi-83161"	26605.48	26814.3
"93035"	"tcruzi-83165"	27607.62	25717.3
"93036"	"tcruzi-83166"	26989.64	24838.09
"93037"	"tcruzi-83167"	28373.27	25596.3
"101633"	"tcruzi-91763"	29142.42	25396.16
"101642"	"tcruzi-91772"	27022.13	24279.8
"114065"	"tcruzi-104195"	25970.09	23248.24
"114069"	"tcruzi-104199"	25475.27	22517.2
"114071"	"tcruzi-104201"	26884.07	24245.88
"147879"	"tcruzi-138009"	21278.09	18155.99
"148392"	"tcruzi-138522"	24512.27	22306.45
"148395"	"tcruzi-138525"	27790.97	21758.86
"198629"	"tcruzi-188759"	28674.14	26417.41
"201635"	"tcruzi-191765"	28182.44	25955.68
"201639"	"tcruzi-191769"	26128.93	25997.28
"201640"	"tcruzi-191770"	28602.22	25680.43
"207533"	"tcruzi-197663"	27051.75	25844.03
"207536"	"tcruzi-197666"	27387.59	27140.11
"207537"	"tcruzi-197667"	27083.41	24721.88
"208007"	"tcruzi-198137"	26925.21	24715.22
"208010"	"tcruzi-198140"	27216.01	25427.19
"208011"	"tcruzi-198141"	27999.87	25288.77
"211983"	"tcruzi-202113"	26521.52	25836.74
"224171"	"tcruzi-214301"	26747.65	25957.46
"241302"	"tcruzi-231432"	26454.49	20979.19
"263876"	"tcruzi-254006"	28684.07	25185.13
"328349"	"tcruzi-mutagenesis-scan-314"	25312.98	21940.87
"329582"	"tcruzi-mutagenesis-scan-1547"	26367.31	25369.9
"330700"	"tcruzi-mutagenesis-scan-2665"	27253.61	25959.06
"330701"	"tcruzi-mutagenesis-scan-2666"	28584.62	27222.5
"330792"	"tcruzi-mutagenesis-scan-2757"	23602.83	22549.3
"330827"	"tcruzi-mutagenesis-scan-2792"	20029.59	21497.35
"330829"	"tcruzi-mutagenesis-scan-2794"	25506.82	21657.59
"330830"	"tcruzi-mutagenesis-scan-2795"	25962.4	22447.62
"330831"	"tcruzi-mutagenesis-scan-2796"	23213.85	20676.29
"330832"	"tcruzi-mutagenesis-scan-2797"	24032.98	19459.95
"330833"	"tcruzi-mutagenesis-scan-2798"	23770	21371.48
"330834"	"tcruzi-mutagenesis-scan-2799"	21472.15	20479.03
"330835"	"tcruzi-mutagenesis-scan-2800"	8227.72	6224.21
"330836"	"tcruzi-mutagenesis-scan-2801"	20530.27	1413.18
"330837"	"tcruzi-mutagenesis-scan-2802"	21242.03	15469.5
"330838"	"tcruzi-mutagenesis-scan-2803"	19190.08	14607.06
"330839"	"tcruzi-mutagenesis-scan-2804"	24027.44	18750.7
"331106"	"tcruzi-mutagenesis-scan-3071"	24703.03	25782.76
"331107"	"tcruzi-mutagenesis-scan-3072"	26576.91	24319.38
"331705"	"tcruzi-mutagenesis-scan-3670"	25325.09	18884.42
"332770"	"tcruzi-mutagenesis-scan-4735"	27239.26	25474.07
"332982"	"tcruzi-mutagenesis-scan-4947"	27181.5	26141.08
"332983"	"tcruzi-mutagenesis-scan-4948"	27736.19	25187.49
"332987"	"tcruzi-mutagenesis-scan-4952"	29097.08	26329.22
"332988"	"tcruzi-mutagenesis-scan-4953"	24123.83	25881.3
"333436"	"tcruzi-mutagenesis-scan-5401"	24445.26	23867.51
"333437"	"tcruzi-mutagenesis-scan-5402"	25999.69	23037.51
"333834"	"tcruzi-mutagenesis-scan-5799"	24229.22	18347.53
"334221"	"tcruzi-mutagenesis-scan-6186"	28083.09	25431.35
"336209"	"tcruzi-mutagenesis-scan-8174"	24885.44	24145.69
"336210"	"tcruzi-mutagenesis-scan-8175"	25758.57	23464.8
"336700"	"tcruzi-mutagenesis-scan-8665"	28356.97	25806.07
"336714"	"tcruzi-mutagenesis-scan-8679"	25832.29	23916.72
"336715"	"tcruzi-mutagenesis-scan-8680"	24797.14	22707.12
"336716"	"tcruzi-mutagenesis-scan-8681"	23535.6	22801.05
"336717"	"tcruzi-mutagenesis-scan-8682"	24019.92	23548.3
"336718"	"tcruzi-mutagenesis-scan-8683"	25631.63	23104.55
"336719"	"tcruzi-mutagenesis-scan-8684"	20678.94	20409.18
"336720"	"tcruzi-mutagenesis-scan-8685"	5269.77	4955.07
"336721"	"tcruzi-mutagenesis-scan-8686"	23589.13	22356.83
"336722"	"tcruzi-mutagenesis-scan-8687"	23311.98	20325.05
"336723"	"tcruzi-mutagenesis-scan-8688"	23943.74	22825.42
"336724"	"tcruzi-mutagenesis-scan-8689"	22598.15	20404.11
"336914"	"tcruzi-mutagenesis-scan-8879"	26813.72	25925.46
"336928"	"tcruzi-mutagenesis-scan-8893"	25679.06	24367.79
"336929"	"tcruzi-mutagenesis-scan-8894"	27006.9	23435.37
"336930"	"tcruzi-mutagenesis-scan-8895"	25272.14	23474.26
"336931"	"tcruzi-mutagenesis-scan-8896"	25258.83	21688.45
